FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
1_100_1007_7_1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e,0.232576097,2023,20/06/2023,1.1
1_100_1007_7_2,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e of CO2 per unit,0.23225,2023,20/06/2023,1.1
1_100_1007_7_3,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0002016,2023,20/06/2023,1.1
1_100_1007_7_4,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Net CV),kg CO2e of N2O per unit,0.000124497,2023,20/06/2023,1.1
1_100_1007_6_1,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e,0.214104804,2023,20/06/2023,1.1
1_100_1007_6_2,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e of CO2 per unit,0.21381,2023,20/06/2023,1.1
1_100_1007_6_3,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e of CH4 per unit,0.0001792,2023,20/06/2023,1.1
1_100_1007_6_4,Scope 1,Fuels,Gaseous fuels,Propane,,,kWh (Gross CV),kg CO2e of N2O per unit,0.000115604,2023,20/06/2023,1.1
1_101_1008_15_1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e,3193.6948,2023,20/06/2023,1.1
1_101_1008_15_2,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e of CO2 per unit,3127.67,2023,20/06/2023,1.1
1_101_1008_15_3,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e of CH4 per unit,39.5248,2023,20/06/2023,1.1
1_101_1008_15_4,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,tonnes,kg CO2e of N2O per unit,26.5,2023,20/06/2023,1.1
1_101_1008_8_1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e,2.331162643,2023,20/06/2023,1.1
1_101_1008_8_2,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e of CO2 per unit,2.28297,2023,20/06/2023,1.1
1_101_1008_8_3,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e of CH4 per unit,0.0288512,2023,20/06/2023,1.1
1_101_1008_8_4,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,litres,kg CO2e of N2O per unit,0.019341443,2023,20/06/2023,1.1
1_101_1008_7_1,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e,0.256656136,2023,20/06/2023,1.1
1_101_1008_7_2,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e of CO2 per unit,0.25135,2023,20/06/2023,1.1
1_101_1008_7_3,Scope 1,Fuels,Liquid fuels,Aviation spirit,,,kWh (Net CV),kg CO2e of CH4 per unit,0.0031808,2023,20/06/2023,1.1
