FactorID,Scope,Category1,Category2,Category3,Category4,Description,UOM,GHGUnit,Factor,FactorYear,PublicationDate,PublicationVersion
25_300_3040_4_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,km,kg CO2e,0.176596449,2023,20/06/2023,1.1
25_300_3040_4_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,km,kg CO2e of CO2 per unit,0.17492,2023,20/06/2023,1.1
25_300_3040_4_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,km,kg CO2e of CH4 per unit,4.64E-06,2023,20/06/2023,1.1
25_300_3040_4_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,km,kg CO2e of N2O per unit,0.001671812,2023,20/06/2023,1.1
25_300_3041_4_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,km,kg CO2e,0.184258534,2023,20/06/2023,1.1
25_300_3041_4_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,km,kg CO2e of CO2 per unit,0.18358,2023,20/06/2023,1.1
25_300_3041_4_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,km,kg CO2e of CH4 per unit,0.0003584,2023,20/06/2023,1.1
25_300_3041_4_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,km,kg CO2e of N2O per unit,0.000320134,2023,20/06/2023,1.1
25_300_3042_4_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,km,kg CO2e,0.178646907,2023,20/06/2023,1.1
25_300_3042_4_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,km,kg CO2e of CO2 per unit,0.17723,2023,20/06/2023,1.1
25_300_3042_4_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,km,kg CO2e of CH4 per unit,0.0001008,2023,20/06/2023,1.1
25_300_3042_4_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,km,kg CO2e of N2O per unit,0.001316107,2023,20/06/2023,1.1
25_300_3043_4_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.099022075,2023,20/06/2023,1.1
25_300_3043_4_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.09825,2023,20/06/2023,1.1
25_300_3043_4_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.0003808,2023,20/06/2023,1.1
25_300_3043_4_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.000391275,2023,20/06/2023,1.1
25_300_3044_4_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e,0.079332475,2023,20/06/2023,1.1
25_300_3044_4_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.07865,2023,20/06/2023,1.1
25_300_3044_4_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.0002912,2023,20/06/2023,1.1
25_300_3044_4_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.000391275,2023,20/06/2023,1.1
25_300_3040_9_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,miles,kg CO2e,0.284215663,2023,20/06/2023,1.1
25_300_3040_9_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,miles,kg CO2e of CO2 per unit,0.28151,2023,20/06/2023,1.1
25_300_3040_9_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,miles,kg CO2e of CH4 per unit,0.0000112,2023,20/06/2023,1.1
25_300_3040_9_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Diesel,miles,kg CO2e of N2O per unit,0.002694463,2023,20/06/2023,1.1
25_300_3041_9_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,miles,kg CO2e,0.296536972,2023,20/06/2023,1.1
25_300_3041_9_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,miles,kg CO2e of CO2 per unit,0.29545,2023,20/06/2023,1.1
25_300_3041_9_3,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,miles,kg CO2e of CH4 per unit,0.0005712,2023,20/06/2023,1.1
25_300_3041_9_4,Scope 3,Business travel- land,Cars (by market segment),MPV,,Petrol,miles,kg CO2e of N2O per unit,0.000515772,2023,20/06/2023,1.1
25_300_3042_9_1,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,miles,kg CO2e,0.287503243,2023,20/06/2023,1.1
25_300_3042_9_2,Scope 3,Business travel- land,Cars (by market segment),MPV,,Unknown,miles,kg CO2e of CO2 per unit,0.28523,2023,20/06/2023,1.1
